date,actual,ARIMA,Prophet,XGBoost,Naive
2016-11-10,107.790001,113.550003,113.03372062505805,110.66927,110.879997
2016-11-11,108.43,113.550003,113.0763833945362,108.6237,107.790001
2016-11-14,105.709999,113.550003,114.01495927187483,108.80949,108.43
2016-11-15,107.110001,113.550003,113.60908816270135,105.285126,105.709999
2016-11-16,109.989998,113.550003,113.7958225119526,106.78994,107.110001
2016-11-17,109.949997,113.550003,113.67723721080837,109.76653,109.989998
2016-11-18,110.059998,113.550003,113.7198999802892,108.962425,109.949997
2016-11-21,111.730003,113.550003,114.65847585762623,109.78241,110.059998
2016-11-22,111.800003,113.550003,114.25260474845265,108.88251,111.730003
2016-11-23,111.230003,113.550003,114.43933909770492,110.29283,111.800003
2016-11-25,111.790001,113.550003,114.36341656603858,109.982956,111.230003
2016-11-28,111.57,113.550003,115.30199244337717,111.29004,111.790001
2016-11-29,111.459999,113.550003,114.89612133420525,110.8524,111.57
2016-11-30,110.519997,113.550003,115.08285568345607,111.38346,111.459999
2016-12-01,109.489998,113.550003,114.9642703823106,111.55313,110.519997
2016-12-02,109.900002,113.550003,115.00693315179096,110.792694,109.489998
2016-12-05,109.110001,113.550003,115.94550902912884,111.15576,109.900002
2016-12-06,109.949997,113.550003,115.53963791995655,110.46172,109.110001
2016-12-07,111.029999,113.550003,115.72637226920722,110.3035,109.949997
2016-12-08,112.120003,113.550003,115.60778696806375,110.33742,111.029999
2016-12-09,113.949997,113.550003,115.65044973754154,111.48135,112.120003
2016-12-12,113.300003,113.550003,116.58902561488024,114.2615,113.949997
2016-12-13,115.190002,113.550003,116.18315450570745,112.852715,113.300003
2016-12-14,115.190002,113.550003,116.36988885495855,115.11843,115.190002
2016-12-15,115.82,113.550003,116.25130355381408,115.82714,115.190002
2016-12-16,115.970001,113.550003,116.29396632329393,115.35119,115.82
2016-12-19,116.639999,113.550003,117.23254220063218,114.93554,115.970001
2016-12-20,116.949997,113.550003,116.82667109145977,115.944824,116.639999
2016-12-21,117.059998,113.550003,117.0134054407107,116.31815,116.949997
2016-12-22,116.290001,113.550003,116.89482013956588,115.60731,117.059998
2016-12-23,116.519997,113.550003,116.93748290904631,115.081184,116.290001
2016-12-27,117.260002,113.550003,117.4701876772107,115.36188,116.519997
2016-12-28,116.760002,113.550003,117.65692202646183,116.64777,117.260002
2016-12-29,116.730003,113.550003,117.53833672531768,114.96902,116.760002
2016-12-30,115.82,113.550003,117.58099949479632,115.042305,116.730003
2017-01-03,116.150002,113.550003,118.1137042629616,115.16963,115.82
2017-01-04,116.019997,113.550003,118.30043861221397,114.9891,116.150002
2017-01-05,116.610001,113.550003,118.18185331106937,114.93471,116.019997
2017-01-06,117.910004,113.550003,118.2245160805487,115.00133,116.610001
2017-01-09,118.989998,113.550003,119.16309195788604,117.348595,117.910004
2017-01-10,119.110001,113.550003,118.75722084871394,116.80368,118.989998
2017-01-11,119.75,113.550003,118.94395519796434,117.51207,119.110001
2017-01-12,119.25,113.550003,118.82536989682107,117.66899,119.75
2017-01-13,119.040001,113.550003,118.86803266629957,117.65279,119.25
2017-01-17,120.0,113.550003,119.40073743446486,117.60808,119.040001
2017-01-18,119.989998,113.550003,119.58747178371647,118.00909,120.0
2017-01-19,119.779999,113.550003,119.46888648257284,117.52572,119.989998
2017-01-20,120.0,113.550003,119.51154925205195,117.84363,119.779999
2017-01-23,120.080002,113.550003,120.45012512938892,118.08709,120.0
2017-01-24,119.970001,113.550003,120.04425402021614,118.082405,120.080002
2017-01-25,121.879997,113.550003,120.23098836946859,117.83052,119.970001
2017-01-26,121.940002,113.550003,120.11240306832318,119.545296,121.879997
2017-01-27,121.949997,113.550003,120.15506583780345,119.385345,121.940002
2017-01-30,121.629997,113.550003,121.09364171514062,119.550026,121.949997
2017-01-31,121.349998,113.550003,120.68777060596707,119.38021,121.629997
2017-02-01,128.75,113.550003,120.87450495521898,118.79638,121.349998
2017-02-02,128.529999,113.550003,120.75591965407634,124.152794,128.75
2017-02-03,129.080002,113.550003,120.79858242355434,125.129555,128.529999
2017-02-06,130.289993,113.550003,121.73715830089155,125.892975,129.080002
2017-02-07,131.529999,113.550003,121.331287191719,124.98685,130.289993
2017-02-08,132.039993,113.550003,121.51802154097129,125.29009,131.529999
2017-02-09,132.419998,113.550003,121.39943623982677,125.10712,132.039993
2017-02-10,132.119995,113.550003,121.44209900930521,125.68124,132.419998
2017-02-13,133.289993,113.550003,122.38067488664352,125.332375,132.119995
2017-02-14,135.020004,113.550003,121.97480377747031,125.59714,133.289993
2017-02-15,135.509995,113.550003,122.16153812672147,129.26782,135.020004
2017-02-16,135.350006,113.550003,122.04295282557855,128.8006,135.509995
